date,nav,cash,num_positions
2023-04-03,98395.08940000003,476.8244000000295,11
2023-04-04,98299.89440000002,476.8244000000295,11
2023-04-05,97763.73440000003,476.8244000000295,11
2023-04-06,97024.89440000003,476.8244000000295,11
2023-04-10,96310.51440000001,476.8244000000295,11
2023-04-11,96861.54440000004,476.8244000000295,11
2023-04-12,96523.00440000002,476.8244000000295,11
2023-04-13,95694.95440000003,476.8244000000295,11
2023-04-14,97054.03440000002,476.8244000000295,11
2023-04-17,97095.76440000003,476.8244000000295,11
2023-04-18,96930.90440000001,476.8244000000295,11
2023-04-19,97055.86440000003,476.8244000000295,11
2023-04-20,96773.73502000002,6759.91502000003,10
2023-04-21,96290.16009000002,992.7800900000248,13
2023-04-24,95937.51009000001,992.7800900000248,13
2023-04-25,95931.08009000002,992.7800900000248,13
2023-04-26,94089.67009000003,992.7800900000248,13
2023-04-27,93917.65009000002,992.7800900000248,13
2023-04-28,95665.34009000003,992.7800900000248,13
2023-05-01,96498.17009000003,992.7800900000248,13
2023-05-02,97500.68009000004,992.7800900000248,13
2023-05-03,96413.94239000001,6824.642390000025,12
2023-05-04,95074.37329000003,11309.253290000026,11
2023-05-05,94032.23719000004,915.6871900000297,13
2023-05-08,95412.15719000004,915.6871900000297,13
2023-05-09,95869.55719000005,915.6871900000297,13
2023-05-10,95486.94719000004,915.6871900000297,13
2023-05-11,96070.35719000002,915.6871900000297,13
2023-05-12,95818.64719000003,915.6871900000297,13
2023-05-15,95440.23719000003,915.6871900000297,13
2023-05-16,96084.68719000004,915.6871900000297,13
2023-05-17,95774.09719000003,915.6871900000297,13
2023-05-18,96164.85219000002,915.6871900000297,13
2023-05-19,97335.96932,949.5493200000246,15
2023-05-22,97196.57932000005,949.5493200000246,15
2023-05-23,96903.36932000001,949.5493200000246,15
2023-05-24,94884.37932000001,949.5493200000246,15
2023-05-25,94757.64932,949.5493200000246,15
2023-05-26,99030.46932000002,949.5493200000246,15
2023-05-30,101172.17932000002,949.5493200000246,15
2023-05-31,101794.86932000003,949.5493200000246,15
2023-06-01,101119.89932000004,949.5493200000246,15
2023-06-02,101651.28137000003,1101.5013700000331,14
2023-06-05,101945.74137000005,1101.5013700000331,14
