date,nav,cash,num_positions
2023-04-04,96289.46787000002,41468.427870000014,8
2023-04-05,95928.82787000002,41468.427870000014,8
2023-04-06,95580.59571000001,42999.055710000015,8
2023-04-10,95262.93859000002,43755.418590000016,8
2023-04-11,95256.86859000001,43755.418590000016,8
2023-04-12,95152.88821000002,44135.41821000002,8
2023-04-13,94834.12497,48544.244970000014,7
2023-04-14,95407.54113000004,1064.6311300000316,13
2023-04-17,95341.30113000005,1064.6311300000316,13
2023-04-18,95447.13113000005,1064.6311300000316,13
2023-04-19,95923.17113000005,1064.6311300000316,13
2023-04-20,96392.10113000004,1064.6311300000316,13
2023-04-21,96018.39113000003,1064.6311300000316,13
2023-04-24,96675.55113000004,1064.6311300000316,13
2023-04-25,96639.48113000003,1064.6311300000316,13
2023-04-26,94561.05967000002,5571.579670000031,12
2023-04-27,94058.39967000004,5571.579670000031,12
2023-04-28,95913.21967000005,5571.579670000031,12
2023-05-01,97039.13967000003,5571.579670000031,12
2023-05-02,97475.34967000001,5571.579670000031,12
2023-05-03,96628.58431000003,9093.414310000031,11
2023-05-04,96156.74431000004,9093.414310000031,11
2023-05-05,95331.30850000007,837.5185000000456,13
2023-05-08,96733.38850000004,837.5185000000456,13
2023-05-09,97198.87850000004,837.5185000000456,13
2023-05-10,96813.73850000006,837.5185000000456,13
2023-05-11,97403.02350000005,837.5185000000456,13
2023-05-12,97151.33850000004,837.5185000000456,13
2023-05-15,96763.26850000003,837.5185000000456,13
2023-05-16,97421.73850000005,837.5185000000456,13
2023-05-17,97109.01850000005,837.5185000000456,13
2023-05-18,97511.07850000005,837.5185000000456,13
2023-05-19,98814.65850000005,837.5185000000456,13
2023-05-22,98838.71850000005,837.5185000000456,13
2023-05-23,98278.56850000004,837.5185000000456,13
2023-05-24,95860.59850000004,837.5185000000456,13
2023-05-25,95586.28850000004,837.5185000000456,13
2023-05-26,96598.68710000004,5244.507100000045,12
2023-05-30,97260.33710000005,5244.507100000045,12
2023-05-31,96763.31732000005,34904.597320000044,9
2023-06-01,96682.55732000004,34904.597320000044,9
2023-06-02,97185.86195000005,1445.861950000049,14
2023-06-05,97467.11195000008,1445.861950000049,14
2023-06-06,97256.87195000007,1445.861950000049,14
2023-06-07,97261.34195000006,1445.861950000049,14
2023-06-08,95368.72503000005,2531.695030000049,14
