date,nav,cash,num_positions
2023-07-03,102782.42379500016,102782.42379500016,0
2023-07-05,102782.42379500016,102782.42379500016,0
2023-07-06,102782.42379500016,102782.42379500016,0
2023-07-07,102681.06123500015,1318.5012350001662,15
2023-07-10,101959.79919500016,101959.79919500016,0
2023-07-11,101959.79919500016,101959.79919500016,0
2023-07-12,101959.79919500016,101959.79919500016,0
2023-07-13,101959.79919500016,101959.79919500016,0
2023-07-14,101859.37024500016,1430.4202450001612,14
2023-07-17,101949.09095500015,101949.09095500015,0
2023-07-18,101949.09095500015,101949.09095500015,0
2023-07-19,101949.09095500015,101949.09095500015,0
2023-07-20,101949.09095500015,101949.09095500015,0
2023-07-21,101848.25041500016,1007.7104150001696,13
2023-07-24,101011.20681500016,101011.20681500016,0
2023-07-25,101011.20681500016,101011.20681500016,0
2023-07-26,101011.20681500016,101011.20681500016,0
2023-07-27,101011.20681500016,101011.20681500016,0
2023-07-28,100911.62251500017,1327.3225150001626,15
2023-07-31,102870.89729500015,102870.89729500015,0
2023-08-01,102870.89729500015,102870.89729500015,0
2023-08-02,102870.89729500015,102870.89729500015,0
2023-08-03,102870.89729500015,102870.89729500015,0
2023-08-04,102769.14076500018,1012.6107650001632,12
2023-08-07,101591.67102500016,101591.67102500016,0
2023-08-08,101591.67102500016,101591.67102500016,0
2023-08-09,101591.67102500016,101591.67102500016,0
2023-08-10,101591.67102500016,101591.67102500016,0
2023-08-11,101491.62769500019,1448.2976950001766,11
2023-08-14,100380.98597500018,100380.98597500018,0
2023-08-15,100380.98597500018,100380.98597500018,0
2023-08-16,100380.98597500018,100380.98597500018,0
2023-08-17,100380.98597500018,100380.98597500018,0
2023-08-18,100281.44562500023,741.0956250002073,8
2023-08-21,99551.92588500021,99551.92588500021,0
2023-08-22,99551.92588500021,99551.92588500021,0
2023-08-23,99551.92588500021,99551.92588500021,0
2023-08-24,99551.92588500021,99551.92588500021,0
2023-08-25,99453.22333500024,750.6733350002241,9
2023-08-28,100111.88266500023,100111.88266500023,0
2023-08-29,100111.88266500023,100111.88266500023,0
2023-08-30,100111.88266500023,100111.88266500023,0
2023-08-31,100111.88266500023,100111.88266500023,0
2023-09-01,100013.60666500023,1737.6066650002404,13
2023-09-05,100265.82981500024,100265.82981500024,0
2023-09-06,100265.82981500024,100265.82981500024,0
2023-09-07,100265.82981500024,100265.82981500024,0
2023-09-08,100167.34713500024,1684.6671350002616,13
2023-09-11,100674.55815500025,100674.55815500025,0
2023-09-12,100674.55815500025,100674.55815500025,0
2023-09-13,100674.55815500025,100674.55815500025,0
2023-09-14,100674.55815500025,100674.55815500025,0
2023-09-15,100575.91216500028,1929.922165000272,13
2023-09-18,99012.78212500029,99012.78212500029,0
2023-09-19,99012.78212500029,99012.78212500029,0
2023-09-20,99012.78212500029,99012.78212500029,0
2023-09-21,99012.78212500029,99012.78212500029,0
2023-09-22,98914.8416150003,974.3316150003066,6
2023-09-25,98731.7663250003,98731.7663250003,0
2023-09-26,98731.7663250003,98731.7663250003,0
2023-09-27,98731.7663250003,98731.7663250003,0
2023-09-28,98731.7663250003,98731.7663250003,0
2023-09-29,98634.6054650003,1473.745465000311,11
2023-10-02,97559.13389500031,97559.13389500031,0
2023-10-03,97559.13389500031,97559.13389500031,0
2023-10-04,97559.13389500031,97559.13389500031,0
2023-10-05,97559.13389500031,97559.13389500031,0
2023-10-06,97462.70241500031,1031.2224150003167,8
2023-10-09,99955.78882500032,99955.78882500032,0
2023-10-10,99955.78882500032,99955.78882500032,0
2023-10-11,99955.78882500032,99955.78882500032,0
2023-10-12,99955.78882500032,99955.78882500032,0
2023-10-13,99858.05073500032,2119.9607350003125,13
2023-10-16,98729.31467500029,98729.31467500029,0
2023-10-17,98729.31467500029,98729.31467500029,0
2023-10-18,98729.31467500029,98729.31467500029,0
2023-10-19,98729.31467500029,98729.31467500029,0
2023-10-20,98632.25863500033,1576.218635000323,11
2023-10-23,96931.56783500031,96931.56783500031,0
2023-10-24,96931.56783500031,96931.56783500031,0
2023-10-25,96931.56783500031,96931.56783500031,0
2023-10-26,96931.56783500031,96931.56783500031,0
2023-10-27,96835.36662500034,634.1566250003307,6
2023-10-30,95386.22970500033,95386.22970500033,0
2023-10-31,95386.22970500033,95386.22970500033,0
2023-11-01,95386.22970500033,95386.22970500033,0
2023-11-02,95386.22970500033,95386.22970500033,0
2023-11-03,95292.59168500031,1654.5716850003237,10
2023-11-06,95070.66208500032,95070.66208500032,0
2023-11-07,95070.66208500032,95070.66208500032,0
2023-11-08,95070.66208500032,95070.66208500032,0
2023-11-09,95070.66208500032,95070.66208500032,0
2023-11-10,94976.49883500036,813.2488350003487,13
2023-11-13,97387.18822500034,97387.18822500034,0
2023-11-14,97387.18822500034,97387.18822500034,0
2023-11-15,97387.18822500034,97387.18822500034,0
2023-11-16,97387.18822500034,97387.18822500034,0
2023-11-17,97290.40086500035,503.04086500034737,11
2023-11-20,97085.05217500035,97085.05217500035,0
2023-11-21,97085.05217500035,97085.05217500035,0
2023-11-22,97085.05217500035,97085.05217500035,0
2023-11-24,96988.76513500034,701.7251350003571,10
2023-11-27,96687.18359500039,96687.18359500039,0
2023-11-28,96687.18359500039,96687.18359500039,0
2023-11-29,96687.18359500039,96687.18359500039,0
2023-11-30,96687.18359500039,96687.18359500039,0
2023-12-01,96592.6635150004,2072.5835150003877,13
2023-12-04,96731.92941500038,96731.92941500038,0
2023-12-05,96731.92941500038,96731.92941500038,0
